Number,Company,TypeName,Inches,Display,Touchscreen,Width,Height,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,OpSys,Weight,Price
323,HP,Notebook,15.6,IPS Panel Full HD,0,1366,768,Intel Core i7 8550U,1.8,8,1TB HDD,,Intel UHD Graphics 620,Windows 10,2.1,48058.56
324,Acer,Notebook,15.6,None,0,1366,768,AMD A12-Series 9720P,2.7,8,256GB SSD,,AMD Radeon RX 540,Windows 10,2.2,35111.52
325,Lenovo,Notebook,14.0,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,32GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.44,15557.76
326,Acer,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,6,1TB HDD,,Intel HD Graphics 620,Windows 10,2.23,29250.72
327,Asus,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,1.7,55938.672
328,HP,Ultrabook,12.5,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.26,71128.8
329,Dell,Notebook,15.6,4K Ultra HD,1,3840,2160,Intel Core i7 7700HQ,2.8,32,1TB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.06,140605.91999999998
330,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.7,63882.72
331,Toshiba,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,2.0,50243.04
332,Asus,Notebook,14.0,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,1TB HDD,Intel HD Graphics 620,Windows 10,2.0,71075.52
333,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Windows 10,1.85,23922.72
334,Asus,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72
335,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7300U,2.6,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.48,67559.04
336,Dell,Ultrabook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,128GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,1.9,55890.72
337,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.84,60952.32
338,Asus,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,1TB HDD,,Intel HD Graphics 500,Linux,2.0,14651.4672
339,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,2.0,60885.72
340,Dell,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,500GB HDD,,Intel HD Graphics,Linux,2.2,14646.672
341,Lenovo,Notebook,15.6,Full HD,0,1920,1080,AMD A12-Series 9720P,3.6,12,2TB HDD,,AMD Radeon 530,Windows 10,2.2,47898.72
342,HP,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i3 7100U,2.4,8,1TB HDD,,Nvidia GeForce 930MX,Windows 10,2.1,38148.48
343,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 8550U,1.8,16,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.4,111834.72
344,Dell,Ultrabook,13.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.2,84129.12
345,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,2TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.4,60153.12
346,HP,Notebook,14.0,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,2,32GB Flash Storage,,Intel HD Graphics 400,Windows 10,1.44,14865.12
347,Dell,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 8650U,1.9,16,512GB SSD,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,85672.1088
348,Asus,2 in 1 Convertible,11.6,None,1,1366,768,Intel Celeron Dual Core N3350,1.1,4,32GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.5,19980.0
349,Dell,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,AMD Radeon 530,Windows 10,1.9,35324.64
350,Dell,Notebook,15.6,4K Ultra HD,1,3840,2160,Intel Core i7 7700HQ,2.8,16,512GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.06,108020.9376
351,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.84,69477.12
352,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7,75071.52
353,HP,Workstation,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia Quadro M1200,Windows 10,2.6,92615.0256
354,Toshiba,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 6500U,2.5,16,512GB SSD,,Nvidia GeForce 930M,Windows 10,2.4,74751.84
355,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,2TB HDD,AMD Radeon 530,Windows 10,2.02,51729.55199999999
356,Lenovo,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,1TB HDD,,Intel HD Graphics 500,No OS,2.2,17155.627200000003
357,Dell,Gaming,15.6,Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,1TB HDD,,Nvidia GeForce GTX 1050,Windows 10,2.65,53226.72
358,Dell,Notebook,15.6,None,1,1366,768,Intel Core i5 7200U,2.5,8,2TB HDD,,Intel HD Graphics 620,Windows 10,2.36,29696.6736
359,Dell,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7300U,2.6,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.36,76030.56
360,HP,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,500GB HDD,,Intel HD Graphics 520,Windows 10,1.86,23389.92
361,Asus,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,2.0,50349.6
362,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i5 7200U,2.5,6,128GB SSD,1TB HDD,Nvidia GeForce GTX 940MX,Windows 10,2.8,38308.32
363,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,1TB HDD,,Intel HD Graphics 620,Windows 10,1.86,34045.92
364,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,8,256GB SSD,,Nvidia GeForce 920MX,No OS,2.2,26586.72
365,HP,Notebook,15.6,None,0,1366,768,Intel Pentium Quad Core N3710,1.6,8,2TB HDD,,Intel HD Graphics 405,Windows 10,2.04,20725.92
366,Dell,Notebook,17.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,2.8,57808.8
367,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,No OS,2.4,43103.52
368,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,AMD Radeon R7 M445,Windows 10,2.33,47898.72
369,HP,Ultrabook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.36,93240.0
370,Asus,2 in 1 Convertible,15.6,Full HD,1,1920,1080,Intel Core i7 7500U,2.7,12,512GB SSD,2TB HDD,Nvidia GeForce GT 940MX,Windows 10,2.26,58554.72
371,Acer,Notebook,15.6,None,0,1366,768,AMD A9-Series 9420,3.0,4,128GB SSD,,AMD Radeon R5,Windows 10,2.1,22697.28
372,Asus,Gaming,17.3,IPS Panel Full HD,0,1920,1080,AMD Ryzen 1700,3.0,16,256GB SSD,1TB HDD,AMD Radeon RX 580,Windows 10,3.25,117162.72
373,Lenovo,Notebook,17.3,None,0,1600,900,AMD A8-Series 7410,2.2,4,128GB SSD,,AMD Radeon R5,Windows 10,2.6,26053.92
374,Dell,2 in 1 Convertible,13.3,Full HD,1,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.62,46300.85279999999
375,HP,Notebook,15.6,Full HD,0,1920,1080,AMD A9-Series 9420,3.0,4,256GB SSD,,AMD Radeon R5,Windows 10,1.91,26053.3872
376,Lenovo,Netbook,11.6,IPS Panel,0,1366,768,Intel Celeron Quad Core N3450,1.1,4,128GB SSD,,Intel HD Graphics 500,Windows 10,1.59,29463.84
377,Dell,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,500GB HDD,,Intel HD Graphics 400,Windows 10,1.8,16463.52
378,Asus,Notebook,14.0,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,32GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.5,15238.08
379,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1TB HDD,,Nvidia GeForce GTX 1050,Linux,2.4,45074.88
380,HP,Gaming,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,63456.48
381,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,128GB SSD,,Intel HD Graphics 520,No OS,1.85,21498.48
382,Asus,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.3,88178.4
383,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,1.5,58554.72
384,Asus,Ultrabook,13.3,Full HD,1,1920,1080,Intel Core i7 7500U,2.7,16,512GB SSD,,Intel HD Graphics 620,Windows 10,1.1,93181.392
385,Lenovo,Ultrabook,14.0,IPS Panel,0,2560,1440,Intel Core i7 7500U,2.7,8,512GB SSD,,Intel HD Graphics 620,Windows 10,1.13,121584.96
386,Lenovo,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i3 7100U,2.4,4,128GB SSD,,Intel HD Graphics 620,Windows 10,1.5,29250.72
387,Dell,Workstation,15.6,Full HD,0,1920,1080,Intel Core i5 6440HQ,2.6,8,500GB HDD,,AMD FirePro W5130M,Windows 10,2.23,72940.31999999999
388,Dell,Workstation,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 6820HQ,2.7,8,256GB SSD,,Nvidia Quadro M1200,Windows 10,2.0,113752.8
389,Lenovo,2 in 1 Convertible,14.0,None,1,2560,1440,Intel Core i7 7500U,2.7,16,512GB SSD,,Intel HD Graphics 620,Windows 10,1.42,133679.52
390,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1TB HDD,,Nvidia GeForce GTX 1050,Windows 10,3.0,55357.92
391,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,3.0,84768.48
392,Acer,Notebook,15.6,IPS Panel,0,1366,768,Intel Core i5 8250U,1.6,12,1TB HDD,,Nvidia GeForce MX130,Windows 10,2.2,36975.7872
393,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia GeForce GTX 1050Ti,Windows 10,2.7,71874.72
394,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,AMD Radeon R7 M445,Linux,2.33,41498.1936
395,HP,Ultrabook,15.6,Full HD,0,1920,1080,AMD A9-Series 9420,3.0,4,256GB SSD,,AMD Radeon 520,Windows 10,1.91,26586.72
396,Lenovo,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon RX 550,Windows 10,2.1,65510.9568
397,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.9,49976.64
398,Dell,Workstation,15.6,4K Ultra HD,1,3840,2160,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia Quadro M1200,Windows 10,1.78,144495.36
399,Lenovo,Ultrabook,14.0,IPS Panel,0,2560,1440,Intel Core i7 7500U,2.7,16,1TB SSD,,Intel HD Graphics 620,Windows 10,1.13,139860.0
400,Lenovo,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,1TB HDD,,Intel HD Graphics 500,Windows 10,2.2,16303.68
401,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,81465.12
402,Lenovo,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,1TB HDD,AMD Radeon RX 550,Windows 10,2.1,60978.96
403,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia GeForce GTX 1050,Linux,2.5,46833.12
404,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8,119826.72
405,Asus,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,512GB SSD,,Intel HD Graphics 620,Windows 10,1.1,99793.44
406,Toshiba,Ultrabook,13.3,Full HD,0,1920,1080,Intel Core i7 6500U,2.5,16,512GB SSD,,Intel HD Graphics 520,Windows 10,1.2,93080.16
407,Dell,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 7600U,2.8,8,512GB SSD,,Intel HD Graphics,Windows 10,1.36,89510.4
408,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,500GB HDD,,Intel HD Graphics 520,Windows 10,2.2,21791.52
409,Lenovo,Notebook,11.6,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,2,32GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.15,16221.096
410,Lenovo,Workstation,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,512GB SSD,,Nvidia Quadro M1200,Windows 10,2.67,102564.0
411,Lenovo,Ultrabook,14.0,IPS Panel Full HD,0,2560,1440,Intel Core i7 7700HQ,2.8,8,512GB SSD,,Nvidia GeForce GT 940MX,Windows 10,1.7,103523.04
412,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,AMD Radeon 520,Windows 10,2.1,24988.32
413,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i7 6500U,2.5,8,256GB SSD,,Intel HD Graphics 520,Windows 10,1.6,42038.4528
414,Asus,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.27,49443.84
415,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,256GB SSD,,AMD Radeon R5 M430,Linux,2.3,31909.392
416,Dell,Notebook,13.3,None,0,1366,768,Intel Core i3 6006U,2.0,4,128GB SSD,,Intel HD Graphics 520,Windows 10,1.65,36709.92
417,HP,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 6500U,2.5,8,256GB SSD,,Intel HD Graphics 520,Windows 10,1.43,79920.0
418,Dell,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,1TB HDD,,Intel HD Graphics 620,Windows 10,2.14,28768.536
419,Lenovo,Ultrabook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon RX 550,Windows 10,1.75,64755.44640000001
420,Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 7700HQ,2.8,16,512GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.0,101178.72
421,Chuwi,Notebook,12.3,IPS Panel Retina Display,0,2736,1824,Intel Celeron Quad Core N3450,1.1,6,64GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.4,23922.72
422,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7820HQ,2.9,8,256GB SSD,,Intel HD Graphics 630,Windows 10,2.31,76030.56
423,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 7100U,2.4,8,1TB HDD,,Nvidia GeForce 940MX,Linux,2.3,31808.16
424,Dell,Gaming,17.3,IPS Panel,0,2560,1440,Intel Core i7 7820HK,2.9,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,149130.72
425,Dell,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.62,61751.52
426,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,2TB HDD,AMD Radeon 530,Windows 10,2.02,60867.072
427,Dell,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 7600U,2.8,8,256GB SSD,,Intel HD Graphics 620,Linux,1.6,58554.72
428,HP,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,12,256GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.35,106506.72
429,Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD,1,1920,1080,Intel Celeron Dual Core N3350,1.1,4,32GB SSD,,Intel HD Graphics 500,Windows 10,1.16,15930.72
430,Samsung,Netbook,11.6,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,16GB Flash Storage,,Intel HD Graphics 400,Chrome OS,1.15,14332.32
431,Lenovo,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.4,53812.8
432,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i3 7130U,2.7,4,128GB SSD,,Intel HD Graphics 620,Windows 10,1.7,31914.72
433,Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD,0,3840,2160,Intel Core i7 7600U,2.8,16,512GB SSD,,Nvidia GeForce 940MX,Windows 10,2.3,130269.6
434,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7820HQ,2.9,16,512GB SSD,,Nvidia Quadro M2200M,Windows 10,2.5,130482.72
435,Asus,Gaming,17.3,Full HD,0,1920,1080,AMD Ryzen 1600,3.2,8,256GB SSD,1TB HDD,AMD Radeon RX 580,Windows 10,3.2,90309.6
436,HP,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,500GB HDD,,Intel HD Graphics 400,Windows 10,2.1,18488.16
437,Google,Ultrabook,12.3,None,1,2400,1600,Intel Core i7 7Y75,1.3,16,512GB SSD,,Intel HD Graphics 615,Chrome OS,1.1,117162.72
438,Lenovo,Ultrabook,14.0,None,0,2560,1440,Intel Core i7 7500U,2.7,24,512GB SSD,,Intel HD Graphics 620,Windows 10,1.32,126912.96
439,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,256GB SSD,,Intel HD Graphics 620,Linux,2.0,29783.52
440,Lenovo,Notebook,17.3,None,0,1600,900,AMD A6-Series 9220,2.5,8,1TB HDD,,AMD Radeon R4,Windows 10,2.8,27652.32
441,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,256GB SSD,,AMD Radeon 530,Windows 10,2.2,39906.72
442,Lenovo,Ultrabook,12.5,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.36,76137.12
443,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Pentium Quad Core N4200,1.1,4,128GB SSD,,Intel HD Graphics 505,Windows 10,2.2,18594.72
444,HP,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,58554.72
445,Dell,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7440HQ,2.8,8,256GB SSD,,Nvidia GeForce 930MX,Windows 10,1.64,62817.12
446,Acer,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,4,500GB HDD,,Intel HD Graphics 620,Linux,2.4,23539.104
447,Dell,Workstation,15.6,Full HD,0,1920,1080,Intel Xeon E3-1505M V6,3.0,8,64GB Flash Storage,1TB HDD,Nvidia Quadro M620,Windows 10,2.23,106187.04
448,MSI,Gaming,15.6,Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,256GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.2,54757.9872
449,Microsoft,Ultrabook,13.5,None,1,2256,1504,Intel Core i7 7660U,2.5,16,512GB SSD,,Intel Iris Plus Graphics 640,Windows 10 S,1.25,137941.91999999998
450,HP,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,128GB SSD,,Intel HD Graphics 620,Windows 10,1.91,31381.92
451,Dell,Workstation,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 6820HQ,2.7,16,256GB SSD,,Nvidia Quadro M620,Windows 10,2.17,105228.0
452,HP,Workstation,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7820HQ,2.9,8,512GB SSD,,Intel HD Graphics 620,Windows 10,2.31,81731.52
453,Lenovo,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.65,71661.59999999999
454,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,2.36,52161.12
455,Dell,2 in 1 Convertible,11.6,None,1,1366,768,Intel Pentium Quad Core N3710,1.6,4,500GB HDD,,Intel HD Graphics 405,Windows 10,1.47,25521.12
456,Dell,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.7,8,1TB HDD,,Nvidia GeForce GTX 1060,Windows 10,4.42,109010.88
457,Microsoft,Ultrabook,13.5,None,1,2256,1504,Intel Core M m3-7Y30,2.2,4,128GB SSD,,Intel HD Graphics 615,Windows 10 S,1.252,52693.92
458,Microsoft,Ultrabook,13.5,None,1,2256,1504,Intel Core i7 7660U,2.5,8,256GB SSD,,Intel Iris Plus Graphics 640,Windows 10 S,1.25,95850.72
459,HP,Notebook,17.3,None,0,1600,900,Intel Core i3 6006U,2.0,8,256GB SSD,,Intel HD Graphics 520,Windows 10,2.5,34093.872
460,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,Nvidia GeForce 940MX,Windows 10,2.23,28984.32
461,Acer,Netbook,11.6,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,128GB SSD,,Intel HD Graphics 400,Windows 10,1.4,23176.8
462,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,1TB HDD,,Intel HD Graphics 620,Windows 10,2.37,39906.72
463,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,512GB SSD,,AMD Radeon R7 M460,No OS,1.5,42570.72
464,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7820HQ,2.9,8,256GB SSD,,Nvidia Quadro M2200M,Windows 10,2.67,111355.2
465,Asus,Notebook,15.6,None,0,1366,768,Intel Pentium Quad Core N4200,1.1,4,500GB HDD,,Intel HD Graphics 500,Windows 10,2.0,16197.12
466,Acer,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,500GB HDD,,Nvidia GeForce GTX 940MX,Windows 10,2.2,24988.32
467,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,2TB HDD,,AMD Radeon 530,Windows 10,2.02,40439.52
468,HP,Gaming,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,12,1TB HDD,,Nvidia GeForce GTX 1060,Windows 10,3.78,90522.72
469,Lenovo,Ultrabook,14.0,IPS Panel Quad HD+,0,2560,1440,Intel Core i7 6600U,2.6,12,256GB SSD,,Intel HD Graphics 520,Windows 10,1.4,98994.24
470,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 8550U,1.8,8,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.29,106506.72
471,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,500GB HDD,,AMD FirePro W4190M,Windows 10,1.9,61485.12
472,Google,Ultrabook,12.3,None,1,2400,1600,Intel Core i5 7Y57,1.2,8,128GB SSD,,Intel HD Graphics 615,Chrome OS,1.1,67932.0
473,Dell,Ultrabook,13.3,Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.42,98133.768
474,Asus,Notebook,15.6,IPS Panel 4K Ultra HD,0,3840,2160,Intel Core i7 6700HQ,2.6,12,128GB SSD,1TB HDD,Intel HD Graphics 530,Windows 10,2.06,69210.72
475,Dell,Notebook,14.0,None,0,1366,768,Intel Core i3 6100U,2.3,8,128GB SSD,,Intel HD Graphics 520,Windows 10,1.79,39427.2
476,Dell,Workstation,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia Quadro M1200,Windows 10,1.78,128298.24
477,Lenovo,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,180GB SSD,,Intel HD Graphics 620,Windows 10,1.7,72673.92
478,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,AMD Radeon 520,Windows 10,2.2,35964.0
479,Toshiba,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.05,89084.16
480,Dell,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,512GB SSD,,Nvidia GeForce 940MX,Windows 10,2.16,67239.36
481,Dell,Notebook,15.6,None,0,1366,768,Intel Core i3 7100U,2.4,4,1TB HDD,,Intel HD Graphics 620,Windows 10,2.18,31254.048
482,HP,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,128GB SSD,,Intel UHD Graphics 620,Windows 10,1.49,38681.28
483,Chuwi,Notebook,15.6,Full HD,0,1920,1080,Intel Atom x5-Z8350,1.44,4,64GB Flash Storage,,Intel HD Graphics,Windows 10,1.89,13261.392000000002
